word,pos_primary,has_hanja,is_bound_morpheme,syllable_count,level
가게,명사,False,False,2,초급
가격,명사,True,False,2,중급
가구,명사,True,False,2,고급
가구,명사,True,False,2,중급
가까워지다,동사,False,False,5,중급
가까이,명사,False,False,3,중급
가깝다,형용사,False,False,3,초급
가꾸다,동사,False,False,3,중급
가끔,부사,False,False,2,초급
가난,명사,False,False,2,고급
가난하다,형용사,False,False,4,중급
가늘다,형용사,False,False,3,중급
가능,명사,True,False,2,고급
가능성,명사,True,False,3,중급
가능하다,형용사,True,False,4,중급
가능해지다,동사,True,False,5,고급
가다,동사,False,False,2,초급
가득,부사,False,False,2,중급
가득하다,형용사,False,False,4,중급
가득히,부사,False,False,3,고급
가라앉다,동사,False,False,4,고급
가려지다,동사,False,False,4,고급
가령,부사,True,False,2,고급
가로,명사,False,False,2,중급
가로등,명사,True,False,3,고급
가로막다,동사,False,False,4,고급
가로수,명사,True,False,3,고급
가루,명사,False,False,2,중급
가르다,동사,False,False,3,고급
가르치다,동사,False,False,4,초급
가르침,명사,False,False,3,고급
가리다,동사,False,False,3,중급
가리키다,동사,False,False,4,중급
가만,부사,False,False,2,고급
가만있다,동사,False,False,4,고급
가만히,부사,False,False,3,중급
가뭄,명사,False,False,2,고급
가방,명사,False,False,2,초급
가볍다,형용사,False,False,3,초급
가사,명사,True,False,2,고급
가상,명사,True,False,2,고급
가수,명사,True,False,2,초급
가스,명사,False,False,2,중급
가슴,명사,False,False,2,초급
가슴속,명사,False,False,3,중급
가요,명사,True,False,2,중급
가운데,명사,False,False,3,초급
가위,명사,False,False,2,중급
가을,명사,False,False,2,초급
가이드,명사,False,False,3,중급
가입,명사,True,False,2,고급
가입자,명사,True,False,3,고급
가입하다,동사,True,False,4,고급
가장,부사,False,False,2,초급
가장,명사,True,False,2,고급
가정,명사,True,False,2,중급
가정,명사,True,False,2,고급
가정교사,명사,True,False,4,고급
가져가다,동사,False,False,4,중급
가져다주다,동사,False,False,5,중급
가져오다,동사,False,False,4,초급
가족,명사,True,False,2,초급
가죽,명사,False,False,2,중급
가지,명사,False,False,2,중급
가지다,동사,False,False,3,초급
가짜,명사,True,False,2,중급
가치,명사,True,False,2,고급
가치관,명사,True,False,3,고급
가톨릭,명사,False,False,3,고급
가하다,동사,True,False,3,고급
각,관형사,True,False,1,중급
각각,명사,True,False,2,중급
각국,명사,True,False,2,중급
각기,부사,True,False,2,고급
각오,명사,True,False,2,고급
각자,명사,True,False,2,중급
각종,명사,True,False,2,중급
간,명사,False,False,1,고급
간,의존명사,True,False,1,중급
간격,명사,True,False,2,고급
간단하다,형용사,True,False,4,중급
간단히,부사,True,False,3,중급
간부,명사,True,False,2,고급
간섭,명사,True,False,2,고급
간식,명사,True,False,2,중급
간신히,부사,True,False,3,고급
간장,명사,True,False,2,중급
간접,명사,True,False,2,고급
간접적,명사,True,False,3,고급
간판,명사,True,False,2,고급
간편하다,형용사,True,False,4,고급
간호,명사,True,False,2,고급
간호사,명사,True,False,3,초급
간혹,부사,True,False,2,고급
갇히다,동사,False,False,3,고급
갈다,동사,False,False,2,중급
갈등,명사,True,False,2,고급
갈비,명사,False,False,2,초급
갈비탕,명사,True,False,3,중급
갈색,명사,True,False,2,중급
갈수록,부사,False,False,3,고급
갈아입다,동사,False,False,4,중급
갈아타다,동사,False,False,4,중급
갈증,명사,True,False,2,고급
감,명사,False,False,1,중급
감,명사,True,False,1,고급
감각,명사,True,False,2,고급
감기,명사,True,False,2,초급
감다,동사,False,False,2,중급
감다,동사,False,False,2,고급
감독,명사,True,False,2,고급
감동,명사,True,False,2,중급
감동적,명사,True,False,3,고급
감사,명사,True,False,2,초급
감사하다,동사,True,False,4,초급
감상,명사,True,False,2,중급
감상하다,동사,True,False,4,중급
감소,명사,True,False,2,고급
감소되다,동사,True,False,4,고급
감소하다,동사,True,False,4,고급
감수성,명사,True,False,3,고급
